epoch,train_loss,validation_loss,validation_accuracy
1,1.297094,0.727896,75.6684
2,0.773810,0.541247,81.7175
3,0.624399,0.447275,85.5793
4,0.535987,0.415401,85.7143
5,0.476475,0.370820,88.1447
6,0.432803,0.341036,89.2520
7,0.399251,0.380332,86.9565
8,0.365031,0.353232,88.9819
9,0.348198,0.314277,89.9271
10,0.320431,0.290884,90.9803
