epoch,train_loss,validation_loss,validation_accuracy
1,1.521681,0.838306,69.8893
2,0.595432,0.459271,84.4180
3,0.409055,0.430608,84.7151
4,0.323374,0.356654,88.0367
5,0.278970,0.353728,88.6849
6,0.246033,0.312604,90.0621
7,0.217552,0.296752,89.9001
8,0.199172,0.293169,90.5212
9,0.184108,0.280235,90.7102
10,0.167693,0.263510,91.7094
