epoch,train_loss,validation_loss,validation_accuracy
1,0.596483,0.377459,86.4164
2,0.282108,0.230967,92.0875
3,0.211790,0.309241,89.3600
4,0.176926,0.224319,92.1415
5,0.146838,0.247292,92.0605
6,0.130493,0.193171,93.5188
7,0.105737,0.215017,93.0327
8,0.102015,0.221552,92.9247
9,0.088140,0.199060,93.4918
10,0.077585,0.199078,94.1669
